text,count,files,kinds,firstFile
"Scrape all configured sources",2,1,"prop:aria-label|prop:label","pages/deal-hunter.tsx"
"Bulk-convert actions",2,1,"prop:aria-label|prop:label","pages/deal-hunter.tsx"
"Clear new-deal counter",2,1,"prop:aria-label|prop:label","pages/deal-hunter.tsx"
"Failed (",2,2,"jsx-text","pages/deal-patterns.tsx"
"Avg success rate",2,2,"jsx-text","pages/deal-patterns.tsx"
"Top performing deal patterns by match count",2,1,"prop:aria-label|prop:label","pages/deal-patterns.tsx"
"Outcome legend",2,1,"prop:aria-label|prop:label","pages/deal-patterns.tsx"
"Search (auto-runs as you type)",2,1,"prop:aria-label|prop:label","pages/deal-patterns.tsx"
"Pattern insights",2,1,"prop:aria-label|prop:label","pages/deal-patterns.tsx"
"Back to AcreOS",2,2,"jsx-text","pages/deal-room-share.tsx"
"Privacy policy",2,2,"jsx-text","pages/deal-room-share.tsx"
"Industrial",2,2,"jsx-text","pages/deal-underwriting.tsx"
"Recreational",2,2,"jsx-text","pages/deal-underwriting.tsx"
"Utilities",2,2,"jsx-text","pages/deal-underwriting.tsx"
"Running scenario analysis…",2,1,"jsx-text","pages/deal-underwriting.tsx"
"Total invested",2,2,"jsx-text","pages/deal-underwriting.tsx"
"Exit strategy options",2,1,"prop:aria-label|prop:label","pages/deal-underwriting.tsx"
"Identified risk factors",2,1,"prop:aria-label|prop:label","pages/deal-underwriting.tsx"
"Pipeline view mode",2,1,"prop:aria-label|prop:label","pages/deals.tsx"
"Kanban view",2,1,"prop:aria-label|prop:label","pages/deals.tsx"
"Previous stage",2,1,"prop:aria-label|prop:label","pages/deals.tsx"
"Next stage",2,1,"prop:aria-label|prop:label","pages/deals.tsx"
"Jump to stage",2,1,"prop:aria-label|prop:label","pages/deals.tsx"
"Deal type",2,1,"prop:aria-label|prop:label","pages/deals.tsx"
"Deals waiting on counter",2,1,"prop:aria-label|prop:label","pages/decision-queue.tsx"
"Deals stuck in stage",2,1,"prop:aria-label|prop:label","pages/decision-queue.tsx"
"Open AI hub for a full Pax conversation",2,1,"prop:aria-label|prop:label","pages/decision-queue.tsx"
"Depreciation schedule",2,1,"prop:aria-label|prop:label","pages/depreciation-calculator.tsx"
"All leads",2,2,"jsx-text","pages/direct-mail-campaigns.tsx"
"Hot leads",2,2,"jsx-text","pages/direct-mail-campaigns.tsx"
"Direct mail campaigns",2,1,"prop:aria-label|prop:label","pages/direct-mail-campaigns.tsx"
"Deed",2,2,"jsx-text","pages/document-intelligence.tsx"
"Extracted key terms",2,1,"prop:aria-label|prop:label","pages/document-intelligence.tsx"
"Search results",2,1,"prop:aria-label|prop:label","pages/document-intelligence.tsx"
"Documents with version history",2,1,"prop:aria-label|prop:label","pages/document-versions.tsx"
"Versions, newest first",2,1,"prop:aria-label|prop:label","pages/document-versions.tsx"
"Link to deal (optional)",2,1,"jsx-text","pages/documents.tsx"
"Link to property (optional)",2,1,"jsx-text","pages/documents.tsx"
"No templates yet",2,2,"prop:title","pages/documents.tsx"
"Filter templates",2,1,"prop:aria-label|prop:label","pages/documents.tsx"
"Compliance findings",2,1,"prop:aria-label|prop:label","pages/dodd-frank-checker.tsx"
"Drip sequences",2,1,"prop:aria-label|prop:label","pages/drip-sequences.tsx"
"Channels used",2,1,"prop:aria-label|prop:label","pages/drip-sequences.tsx"
"Active dunning cases",2,1,"prop:aria-label|prop:label","pages/dunning-manager.tsx"
"Wire fraud prevention reminder",2,1,"prop:aria-label|prop:label","pages/earnest-money.tsx"
"Priority:",2,2,"jsx-text","pages/event-log.tsx"
"Dead letter",2,2,"jsx-text","pages/event-log.tsx"
"Active subscriptions",2,2,"jsx-text","pages/event-log.tsx"
"Recent events, newest first",2,1,"prop:aria-label|prop:label","pages/event-log.tsx"
"Active 1031 exchanges",2,1,"prop:aria-label|prop:label","pages/exchange-1031.tsx"
"Replacement properties ranked by match score",2,1,"prop:aria-label|prop:label","pages/exchange-1031.tsx"
"Best match",2,1,"prop:aria-label|prop:label","pages/exchange-1031.tsx"
"Organizations by tier",2,1,"prop:aria-label|prop:label","pages/executive-dashboard.tsx"
"Executive dashboard",2,1,"prop:label","pages/executive-dashboard.tsx"
"Fee ledger",2,1,"prop:aria-label|prop:label","pages/fee-dashboard.tsx"
"Owner Name",2,2,"jsx-text","pages/field-scout.tsx"
"Owner name",2,2,"jsx-text|prop:placeholder","pages/field-scout.tsx"
"Stop voice recording",2,1,"prop:aria-label|prop:label","pages/field-scout.tsx"
"Start voice recording",2,1,"prop:aria-label|prop:label","pages/field-scout.tsx"
"Quick-add new lead",2,1,"prop:aria-label|prop:label","pages/field-scout.tsx"
"Borrower",2,2,"jsx-text","pages/finance.tsx"
"Term",2,2,"jsx-text|prop:label","pages/finance.tsx"
"Open borrower portal (opens in new tab)",2,1,"prop:aria-label|prop:label","pages/finance.tsx"
"View note details",2,1,"prop:aria-label|prop:label","pages/finance.tsx"
"Close note details",2,1,"prop:aria-label|prop:label","pages/finance.tsx"
"Copy payment link to clipboard",2,1,"prop:aria-label|prop:label","pages/finance.tsx"
"Late",2,1,"prop:aria-label|prop:label","pages/finance.tsx"
"Projected income by source",2,1,"prop:aria-label|prop:label","pages/forecasting.tsx"
"Window selection",2,1,"prop:aria-label|prop:label","pages/founder/activation.tsx"
"No AI spend in the last 7 days.",2,1,"jsx-text","pages/founder/ai-costs.tsx"
"AI cost observability",2,1,"jsx-text|prop:label","pages/founder/ai-costs.tsx"
"7-day spend sparkline",2,1,"prop:aria-label|prop:label","pages/founder/ai-costs.tsx"
"Cost by feature stacked bar",2,1,"prop:aria-label|prop:label","pages/founder/ai-costs.tsx"
"Tokens",2,2,"jsx-text","pages/founder/ai-observatory.tsx"
"Model ID",2,2,"jsx-text","pages/founder/ai-observatory.tsx"
"Telemetry",2,1,"prop:aria-label|prop:label","pages/founder/bridge.tsx"
"Open thread list",2,1,"prop:aria-label|prop:label","pages/founder/chat.tsx"
"View legacy dashboard",2,1,"prop:aria-label|prop:label","pages/founder/chat.tsx"
"CMO ad engine",2,1,"jsx-text|prop:label","pages/founder/cmo.tsx"
"Cockpit",2,1,"jsx-text|prop:label","pages/founder/cockpit.tsx"
"Run optimiser now",2,1,"prop:aria-label|prop:label","pages/founder/cost-optimizer.tsx"
"Cost optimiser",2,2,"jsx-text|prop:label","pages/founder/cost-optimizer.tsx"
"Profit margin",2,2,"jsx-text|prop:label","pages/founder/cost-optimizer.tsx"
"Replay record",2,1,"prop:aria-label|prop:label","pages/founder/etl.tsx"
"Support",2,2,"jsx-text","pages/founder/feedback-inbox.tsx"
"Error rate",2,2,"jsx-text|prop:label","pages/founder/inspector/provider.tsx"
"System API keys",2,1,"jsx-text|prop:label","pages/founder/keys.tsx"
"e.g. 42",2,2,"prop:placeholder","pages/founder/legal-holds.tsx"
"Place legal hold",2,1,"prop:aria-label|prop:label","pages/founder/legal-holds.tsx"
"Now",2,1,"jsx-text|prop:label","pages/founder/now.tsx"
"Observability cost",2,1,"jsx-text|prop:label","pages/founder/observability-cost.tsx"
"Run auto-promotion",2,1,"prop:aria-label|prop:label","pages/founder/prompt-versions.tsx"
"Find user",2,1,"jsx-text","pages/founder/recovery-console.tsx"
"Justification (audit-logged)",2,1,"jsx-text","pages/founder/recovery-console.tsx"
"Organization id (numeric)",2,1,"jsx-text","pages/founder/recovery-console.tsx"
"organizations.ownerId",2,1,"jsx-text","pages/founder/recovery-console.tsx"
"Clear selected user",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"User search query",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Admin session id to preserve",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Revoke all other sessions",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Cancel revoke",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Confirm revoke session",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Cancel bulk revoke",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Confirm bulk revoke",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Begin 2FA reset workflow",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Identity proof type",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Proof reference id",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Justification text",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Confirm identity verified",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Cancel 2FA reset",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Previous step",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Next step",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Confirm 2FA reset",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Generated reset link",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Copy reset link to clipboard",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Cancel link generation",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Confirm link generation",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Freeze until date",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Freeze reason",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Cancel freeze",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Confirm freeze autopay",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"New owner user id",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Court document file",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Court document S3 key",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Transfer justification",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Transfer ownership",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Cancel transfer",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"Confirm ownership transfer",2,1,"prop:aria-label|prop:label","pages/founder/recovery-console.tsx"
"JSON value",2,1,"prop:aria-label|prop:label","pages/founder/studio/dials.tsx"
"Move up",2,1,"prop:aria-label|prop:label","pages/founder/studio/routing.tsx"
"Move down",2,1,"prop:aria-label|prop:label","pages/founder/studio/routing.tsx"
"Remove item",2,1,"prop:aria-label|prop:label","pages/founder/studio/routing.tsx"
"Co-marketing enabled",2,1,"prop:aria-label|prop:label","pages/founder/studio/routing.tsx"
"Tracking pool size",2,1,"prop:aria-label|prop:label","pages/founder/studio/routing.tsx"
"BYOK precedence",2,1,"prop:aria-label|prop:label","pages/founder/studio/routing.tsx"
"Free source first",2,1,"prop:aria-label|prop:label","pages/founder/studio/routing.tsx"
"Enforce prompt cache",2,1,"prop:aria-label|prop:label","pages/founder/studio/routing.tsx"
"Studio",2,1,"jsx-text|prop:label","pages/founder/studio.tsx"
"2xx",2,1,"jsx-text","pages/founder/telemetry.tsx"
"4xx",2,1,"jsx-text","pages/founder/telemetry.tsx"
"5xx",2,1,"jsx-text","pages/founder/telemetry.tsx"
"Webhook URL",2,2,"jsx-text","pages/founder/title-partners.tsx"
"Territory",2,2,"jsx-text","pages/founder/title-partners.tsx"
"Register title partner",2,1,"prop:aria-label|prop:label","pages/founder/title-partners.tsx"
"r.profitMarginUsd",2,2,"jsx-text","pages/founder/unit-economics.tsx"
"Per-customer unit economics",2,1,"jsx-text|prop:label","pages/founder/unit-economics.tsx"
"Customer",2,1,"jsx-text","pages/founder/unit-economics.tsx"
"Detail",2,2,"jsx-text","pages/founder/unit-economics.tsx"
"MRR / COGS / Gross margin trend over the last 90 days",2,1,"prop:aria-label|prop:label","pages/founder/unit-economics.tsx"
"Refresh unit economics rollup",2,1,"prop:aria-label|prop:label","pages/founder/unit-economics.tsx"
"Automated agents",2,1,"prop:aria-label|prop:label","pages/founder-agents.tsx"
"Denied",2,2,"jsx-text","pages/founder-ai-observatory.tsx"
"Avg latency",2,2,"jsx-text|prop:title","pages/founder-ai-observatory.tsx"
"Mark this decision as a good call",2,1,"prop:aria-label|prop:label","pages/founder-ai-observatory.tsx"
"Flag this decision — I",2,1,"prop:aria-label|prop:label","pages/founder-ai-observatory.tsx"
"Loading proposals",2,1,"prop:aria-label|prop:label","pages/founder-ai-observatory.tsx"
"Loading model catalog",2,1,"prop:aria-label|prop:label","pages/founder-ai-observatory.tsx"
"Compliance & Ops",2,1,"jsx-text|prop:label","pages/founder-compliance-ops.tsx"
"Within SLA",2,1,"jsx-text|prop:label","pages/founder-compliance-ops.tsx"
"Divergent",2,1,"jsx-text|prop:label","pages/founder-compliance-ops.tsx"
"Daily digest sections",2,1,"prop:aria-label|prop:label","pages/founder-daily-digest.tsx"
"Items that need your attention",2,1,"prop:aria-label|prop:label","pages/founder-daily-digest.tsx"
"Uptime",2,1,"jsx-text","pages/founder-dashboard.tsx"
"Campaign Optimizer",2,1,"jsx-text","pages/founder-dashboard.tsx"
"Finance Agent",2,1,"jsx-text","pages/founder-dashboard.tsx"
"API Queue",2,1,"jsx-text","pages/founder-dashboard.tsx"
"No organizations in dunning",2,1,"jsx-text","pages/founder-dashboard.tsx"
"Organizations by Tier",2,1,"jsx-text","pages/founder-dashboard.tsx"
"Downgrades (30d)",2,1,"jsx-text","pages/founder-dashboard.tsx"
"Reactivations (30d)",2,1,"jsx-text","pages/founder-dashboard.tsx"
"Added",2,2,"jsx-text","pages/founder-dashboard.tsx"
"Free",2,2,"jsx-text","pages/founder-dashboard.tsx"
"Failed:",2,1,"jsx-text","pages/founder-dashboard.tsx"
"Keyboard",2,1,"prop:aria-label|prop:label","pages/founder-dashboard.tsx"
"Loading auto-resolutions",2,1,"prop:aria-label|prop:label","pages/founder-dashboard.tsx"
"Loading scheduled jobs",2,1,"prop:aria-label|prop:label","pages/founder-dashboard.tsx"
"Monthly revenue target in USD",2,1,"prop:aria-label|prop:label","pages/founder-dashboard.tsx"
"Founder dashboard sections",2,1,"prop:aria-label|prop:label","pages/founder-dashboard.tsx"
"Refresh all",2,1,"prop:aria-label|prop:label","pages/founder-dashboard.tsx"
"Acknowledge alert",2,1,"prop:aria-label|prop:label","pages/founder-dashboard.tsx"
"Resolve alert",2,1,"prop:aria-label|prop:label","pages/founder-dashboard.tsx"
"Approve endpoint",2,1,"prop:aria-label|prop:label","pages/founder-dashboard.tsx"
"Autopilot status",2,1,"prop:aria-label|prop:label","pages/founder-dashboard.tsx"
"Send",2,1,"prop:aria-label|prop:label","pages/founder-dashboard.tsx"
"Founder dashboard",2,1,"prop:label","pages/founder-dashboard.tsx"
"Run expansion scan now",2,1,"prop:aria-label|prop:label","pages/founder-expansion.tsx"
"Active expansion candidates",2,1,"prop:aria-label|prop:label","pages/founder-expansion.tsx"
"Resolved expansion candidates",2,1,"prop:aria-label|prop:label","pages/founder-expansion.tsx"
"Create new experiment",2,1,"prop:aria-label|prop:label","pages/founder-experiments.tsx"
"Experiment variants",2,1,"prop:aria-label|prop:label","pages/founder-experiments.tsx"
"Leading variant",2,1,"prop:aria-label|prop:label","pages/founder-experiments.tsx"
"Period (YYYY-MM)",2,1,"prop:aria-label|prop:label","pages/founder-financials.tsx"
"System health",2,2,"jsx-text|prop:title","pages/founder-home.tsx"
"Top items in the founder decision queue",2,1,"prop:aria-label|prop:label","pages/founder-home.tsx"
"Recent customer events",2,1,"prop:aria-label|prop:label","pages/founder-home.tsx"
"Loading archive…",2,2,"jsx-text","pages/founder-letter.tsx"
"No previous letters yet.",2,2,"jsx-text","pages/founder-letter.tsx"
"No letter yet",2,2,"prop:title","pages/founder-letter.tsx"
"Founder decision required",2,1,"prop:aria-label|prop:label","pages/founder-letter.tsx"
"Previous founder letters, newest first",2,1,"prop:aria-label|prop:label","pages/founder-letter.tsx"
"Sweep all onboarding journeys now",2,1,"prop:aria-label|prop:label","pages/founder-onboarding.tsx"
"Flagged onboarding journeys needing a call",2,1,"prop:aria-label|prop:label","pages/founder-onboarding.tsx"
"Onboarding journeys in progress",2,1,"prop:aria-label|prop:label","pages/founder-onboarding.tsx"
"Completed onboarding journeys",2,1,"prop:aria-label|prop:label","pages/founder-onboarding.tsx"
"In progress",2,2,"jsx-text|prop:label","pages/founder-onboarding.tsx"
"Pending actions awaiting commit",2,1,"prop:aria-label|prop:label","pages/founder-preview.tsx"
"Recent autonomous actions",2,1,"prop:aria-label|prop:label","pages/founder-preview.tsx"
"Run the prompt-evolution meta-agent now",2,1,"prop:aria-label|prop:label","pages/founder-prompt-evolutions.tsx"
"Pending prompt-evolution proposals",2,1,"prop:aria-label|prop:label","pages/founder-prompt-evolutions.tsx"
"Lookups",2,1,"jsx-text","pages/founder-providers.tsx"
"Per-provider summary",2,1,"prop:aria-label|prop:label","pages/founder-providers.tsx"
"Per-category summary",2,1,"prop:aria-label|prop:label","pages/founder-providers.tsx"
"Run weekly proposal pass now",2,1,"prop:aria-label|prop:label","pages/founder-strategy.tsx"
"Run monthly synthesis now",2,1,"prop:aria-label|prop:label","pages/founder-strategy.tsx"
"Synthesized strategic moves",2,1,"prop:aria-label|prop:label","pages/founder-strategy.tsx"
"Weekly raw strategic proposals",2,1,"prop:aria-label|prop:label","pages/founder-strategy.tsx"
"Auto-resolve candidate items",2,1,"prop:aria-label|prop:label","pages/founder-todo.tsx"
"Items waiting on your decision",2,1,"prop:aria-label|prop:label","pages/founder-todo.tsx"
"Recent agent traces",2,1,"prop:aria-label|prop:label","pages/founder-traces.tsx"
"System trend signals",2,1,"prop:aria-label|prop:label","pages/founder-trends.tsx"
"Freedom date",2,1,"jsx-text","pages/freedom-meter.tsx"
"Daily wisdom",2,1,"prop:aria-label|prop:label","pages/freedom-meter.tsx"
"Monthly fixed expenses in dollars",2,1,"prop:aria-label|prop:label","pages/freedom-meter.tsx"
"Save expenses",2,1,"prop:aria-label|prop:label","pages/freedom-meter.tsx"
"Edit expenses",2,1,"prop:aria-label|prop:label","pages/freedom-meter.tsx"
"Freedom meter sections",2,1,"prop:aria-label|prop:label","pages/freedom-meter.tsx"
"Start Blind Offer Wizard",2,1,"prop:aria-label|prop:label","pages/freedom-meter.tsx"
"Open dunning manager",2,1,"prop:aria-label|prop:label","pages/freedom-meter.tsx"
"Jump to letter",2,1,"prop:aria-label|prop:label","pages/glossary.tsx"
"No goals yet",2,2,"jsx-text|prop:title","pages/goals.tsx"
"Loading goals",2,1,"prop:aria-label|prop:label","pages/goals.tsx"
"Your goals",2,1,"prop:aria-label|prop:label","pages/goals.tsx"
"Regenerate Pax draft",2,1,"prop:aria-label|prop:label","pages/inbox.tsx"
"Reply message",2,1,"prop:aria-label|prop:label","pages/inbox.tsx"
"SMS message",2,1,"prop:aria-label|prop:label","pages/inbox.tsx"
"Search messages",2,1,"prop:aria-label|prop:label","pages/inbox.tsx"
"Invalid id",2,2,"jsx-text","pages/inspection-detail.tsx"
"Tenant",2,2,"jsx-text","pages/inspection-detail.tsx"
"Remove line",2,1,"prop:aria-label|prop:label","pages/inspection-detail.tsx"
"Refresh integration status",2,1,"prop:aria-label|prop:label","pages/integrations-health.tsx"
"External services",2,1,"prop:aria-label|prop:label","pages/integrations-health.tsx"
"Cap rate",2,1,"jsx-text","pages/investor-analytics.tsx"
"Portfolio analytics",2,2,"jsx-text|prop:label","pages/investor-analytics.tsx"
"Unverified",2,2,"jsx-text","pages/investor-directory.tsx"
"Investment focus",2,1,"jsx-text","pages/investor-directory.tsx"
"Loading your profile",2,1,"prop:aria-label|prop:label","pages/investor-directory.tsx"
"Identity verified",2,1,"prop:aria-label|prop:label","pages/investor-directory.tsx"
"Identity not yet verified",2,1,"prop:aria-label|prop:label","pages/investor-directory.tsx"
"Investment focus areas",2,1,"prop:aria-label|prop:label","pages/investor-directory.tsx"
"Directory shows verified investors only",2,1,"prop:aria-label|prop:label","pages/investor-directory.tsx"
"Loading directory",2,1,"prop:aria-label|prop:label","pages/investor-directory.tsx"
"Verified investor directory",2,1,"prop:aria-label|prop:label","pages/investor-directory.tsx"
"Verification benefits",2,1,"prop:aria-label|prop:label","pages/investor-directory.tsx"
"Latest run per job",2,1,"prop:aria-label|prop:label","pages/job-health.tsx"
"Status filter",2,1,"prop:aria-label|prop:label","pages/job-health.tsx"
"Recent job runs, newest first",2,1,"prop:aria-label|prop:label","pages/job-health.tsx"
"Portfolio overview",2,2,"jsx-text","pages/land-credit.tsx"
"Feature importance",2,2,"jsx-text","pages/land-credit.tsx"
"Score factors",2,1,"prop:aria-label|prop:label","pages/land-credit.tsx"
"Loading score history",2,1,"prop:aria-label|prop:label","pages/land-credit.tsx"
"Dimension scores with weights",2,1,"prop:aria-label|prop:label","pages/land-credit.tsx"
"Score strengths",2,1,"prop:aria-label|prop:label","pages/land-credit.tsx"
"Score weaknesses",2,1,"prop:aria-label|prop:label","pages/land-credit.tsx"
"Recommendations to improve score",2,1,"prop:aria-label|prop:label","pages/land-credit.tsx"
"Loading portfolio distribution",2,1,"prop:aria-label|prop:label","pages/land-credit.tsx"
"Grade distribution across portfolio",2,1,"prop:aria-label|prop:label","pages/land-credit.tsx"
"Properties by risk level",2,1,"prop:aria-label|prop:label","pages/land-credit.tsx"
"Scoring factors and their weights",2,1,"prop:aria-label|prop:label","pages/land-credit.tsx"
"Result:",2,1,"jsx-text","pages/landing/DayInLife.tsx"
"Resources",2,2,"jsx-text","pages/landing/Footer.tsx"
"Back to top",2,1,"prop:aria-label|prop:label","pages/landing/Footer.tsx"
"Primary",2,1,"prop:aria-label|prop:label","pages/landing/LandingNav.tsx"
"AcreOS home",2,1,"prop:aria-label|prop:label","pages/landing/LandingNav.tsx"
"Who AcreOS is for",2,1,"prop:aria-label|prop:label","pages/landing/Positioning.tsx"
"Billing cadence",2,1,"prop:aria-label|prop:label","pages/landing/Pricing.tsx"
"Lead not found",2,1,"prop:title","pages/lead-detail.tsx"
"Rescan for duplicates",2,1,"prop:aria-label|prop:label","pages/leads-dedupe.tsx"
"Scanning for duplicate leads",2,1,"prop:aria-label|prop:label","pages/leads-dedupe.tsx"
"Score History",2,1,"jsx-text","pages/leads.tsx"
"All assignees",2,1,"jsx-text","pages/leads.tsx"
"Contacting",2,1,"jsx-text","pages/leads.tsx"
"Negotiation",2,1,"jsx-text","pages/leads.tsx"
"Dead",2,1,"jsx-text","pages/leads.tsx"
"Max file size: 5 MB.",2,2,"jsx-text","pages/leads.tsx"
"Filter by stage",2,1,"prop:placeholder","pages/leads.tsx"
"Filter by assignee",2,1,"prop:placeholder","pages/leads.tsx"
"More actions",2,1,"prop:aria-label|prop:label","pages/leads.tsx"
"Toggle filters",2,1,"prop:aria-label|prop:label","pages/leads.tsx"
"Content Reveal",2,1,"prop:aria-label|prop:label","pages/leads.tsx"
"View notes and timeline",2,1,"prop:aria-label|prop:label","pages/leads.tsx"
"CSV preview",2,1,"prop:aria-label|prop:label","pages/leads.tsx"
"State *",2,2,"jsx-text","pages/leases.tsx"
"Flags",2,2,"jsx-text","pages/leases.tsx"
"Active channels",2,2,"jsx-text","pages/listing-syndication.tsx"
"Loading syndication channels",2,1,"prop:aria-label|prop:label","pages/listing-syndication.tsx"
"Syndication channels",2,1,"prop:aria-label|prop:label","pages/listing-syndication.tsx"
"Synced",2,1,"prop:aria-label|prop:label","pages/listing-syndication.tsx"
"Sync error",2,1,"prop:aria-label|prop:label","pages/listing-syndication.tsx"
"Sync pending",2,1,"prop:aria-label|prop:label","pages/listing-syndication.tsx"
"Listings",2,1,"jsx-text|prop:label","pages/listings.tsx"
"Interest rate %",2,2,"jsx-text|prop:label","pages/listings.tsx"
"Inquiries",2,1,"jsx-text","pages/listings.tsx"
"Syndication platforms",2,2,"jsx-text","pages/listings.tsx"
"No listings yet",2,2,"jsx-text|prop:title","pages/listings.tsx"
"No photo available",2,1,"prop:aria-label|prop:label","pages/listings.tsx"
"Remove rule",2,1,"prop:aria-label|prop:label","pages/lot-pricing.tsx"
"Lot pricing",2,1,"prop:label","pages/lot-pricing.tsx"
"Search properties",2,2,"jsx-text","pages/maps.tsx"
"Close property intelligence panel",2,1,"prop:aria-label|prop:label","pages/maps.tsx"
"Map mode",2,1,"prop:aria-label|prop:label","pages/maps.tsx"
"Use my current location to add a property",2,1,"prop:aria-label|prop:label","pages/maps.tsx"
"Filter by property status",2,1,"prop:aria-label|prop:label","pages/maps.tsx"
"Minimum acres",2,1,"prop:aria-label|prop:label","pages/maps.tsx"
"Maximum acres",2,1,"prop:aria-label|prop:label","pages/maps.tsx"
"Land prices by state",2,1,"prop:aria-label|prop:label","pages/market-data.tsx"
"Price per acre",2,2,"jsx-text","pages/market-intelligence.tsx"
"Markets queued for comparison",2,1,"prop:aria-label|prop:label","pages/market-intelligence.tsx"
"Loading market analysis",2,1,"prop:aria-label|prop:label","pages/market-intelligence.tsx"
"Radar dimension scores",2,1,"prop:aria-label|prop:label","pages/market-intelligence.tsx"
"Market comparison results",2,1,"prop:aria-label|prop:label","pages/market-intelligence.tsx"
"e.g. Travis",2,2,"prop:placeholder","pages/market-watchlist.tsx"
"Add a county to watchlist",2,1,"prop:aria-label|prop:label","pages/market-watchlist.tsx"
"Watched counties",2,1,"prop:aria-label|prop:label","pages/market-watchlist.tsx"
"Market alerts, newest first",2,1,"prop:aria-label|prop:label","pages/market-watchlist.tsx"
"Bids",2,2,"jsx-text","pages/marketplace-analytics.tsx"
"Investor",2,2,"jsx-text","pages/marketplace-analytics.tsx"
"Verification",2,2,"jsx-text","pages/marketplace-analytics.tsx"
"Average days from listing to close, monthly",2,1,"prop:aria-label|prop:label","pages/marketplace-analytics.tsx"
"Top investors by reputation",2,1,"prop:aria-label|prop:label","pages/marketplace-analytics.tsx"
"Wholesale",2,1,"jsx-text","pages/marketplace.tsx"
"Assignment",2,1,"jsx-text","pages/marketplace.tsx"
"Retail",2,1,"jsx-text","pages/marketplace.tsx"
"All zoning",2,1,"jsx-text|prop:placeholder","pages/marketplace.tsx"
"Post a new deal to the marketplace",2,1,"prop:aria-label|prop:label","pages/marketplace.tsx"
"Clear all marketplace filters",2,1,"prop:aria-label|prop:label","pages/marketplace.tsx"
"Buyer ID (optional)",2,1,"jsx-text|prop:placeholder","pages/matching-engine.tsx"
"Top property-buyer matches",2,1,"prop:aria-label|prop:label","pages/matching-engine.tsx"
"Match reasons",2,1,"prop:aria-label|prop:label","pages/matching-engine.tsx"
"Memory tags",2,1,"prop:aria-label|prop:label","pages/memory-browser.tsx"
"Memory type descriptions",2,1,"prop:aria-label|prop:label","pages/memory-browser.tsx"
"Geographic coverage",2,1,"jsx-text","pages/model-training.tsx"
"Generated",2,2,"jsx-text|prop:label","pages/model-training.tsx"
"Run bulk valuations on all owned properties",2,1,"prop:aria-label|prop:label","pages/model-training.tsx"
"Feature importance ranking",2,1,"prop:aria-label|prop:label","pages/model-training.tsx"
"Recent training transactions",2,1,"prop:aria-label|prop:label","pages/model-training.tsx"
"Generate valuations for all owned properties",2,1,"prop:aria-label|prop:label","pages/model-training.tsx"
"Recent valuation predictions",2,1,"prop:aria-label|prop:label","pages/model-training.tsx"
"States with training data",2,1,"prop:aria-label|prop:label","pages/model-training.tsx"
"Portfolio",2,2,"jsx-text|prop:label","pages/money.tsx"
"Cross-vertical P&L",2,1,"jsx-text|prop:label","pages/multi-vertical-pnl.tsx"
"Costs",2,1,"jsx-text","pages/multi-vertical-pnl.tsx"
"Previous monthly letters, newest first",2,1,"prop:aria-label|prop:label","pages/my-letter.tsx"
"Neutral",2,2,"jsx-text|prop:label","pages/negotiation-copilot.tsx"
"Strategy",2,2,"jsx-text","pages/negotiation-copilot.tsx"
